# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
27/10/2025 00:00:00,Base Station,2190064,56.716540,11.519060,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,219024783,55.471812,8.424285,Under way using engine,0.0,0.0,176.2,176,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Base Station,2194006,55.538870,5.033200,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Base Station,2194005,56.344250,4.272000,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,259264000,56.003310,8.123933,Engaged in fishing,0.0,0.1,108.8,241,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,245897000,57.711723,9.651717,Under way using engine,1.1,20.1,74.2,74,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,245897000,57.711723,9.651717,Under way using engine,1.1,20.1,74.2,74,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,245897000,57.711723,9.651717,Under way using engine,1.1,20.1,74.2,74,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,245897000,57.711723,9.651717,Under way using engine,1.1,20.1,74.2,74,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
27/10/2025 00:00:00,Class A,219026172,58.118247,10.005437,Engaged in fishing,0.0,2.6,55.1,47,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
